ID,Name,Type,Effect,Desc
27,Guard 2,cooldown,"HP,0.9","If unit's HP is 90% at start of combat, enemy is inflicted with Special cooldown charge-1."
28,Guard 3,cooldown,"HP,0.8","If unit's HP is 80% at start of combat, enemy is inflicted with Special cooldown charge-1."
29,Hit and Run,mobility,combat,"If unit initiates attack, unit\nadvances 1 space after battle."
30,Knock Back,mobility,combat,"If unit initiates attack, foe is moved 1 space away after combat"
31,Lancebreaker 1,breaker,"Blue,Lance","If unit's HP > 90% in combat against a lance user, unit makes a follow-up attack and foe cannot."
32,Lancebreaker 2,breaker,"Blue,Lance","If unit's HP > 70% in combat against a lance user, unit makes a follow-up attack and foe cannot."
33,Lancebreaker 3,breaker,"Blue,Lance","If unit's HP > 50% in combat against a lance user, unit makes a follow-up attack and foe cannot."
34,Live to Serve 1,,,
35,Live to Serve 2,,,
36,Live to Serve 3,,,
37,Lunge,mobility,combat,"If unit initiates attack, after combat, unit and targeted foe swap places."
38,Obstruct 1,mobility,,Prevents foes from moving through adjacent spaces while this unit's HP ≥ 90%. (No effect on foes with a Pass skill.)
39,Obstruct 2,mobility,,Prevents foes from moving through adjacent spaces while this unit's HP ≥ 70%. (No effect on foes with a Pass skill.)
40,Obstruct 3,mobility,,Prevents foes from moving through adjacent spaces while this unit's HP ≥ 50%. (No effect on foes with a Pass skill.)
41,Pass 1,mobility,,Unit can pass through foes if its own HP ≥ 75%.
42,Pass 2,mobility,,Unit can pass through foes if its own HP ≥ 50%.
43,Pass 3,mobility,,Unit can pass through foes if its own HP ≥ 25%.
44,Poison Strike 1,post-combat,4,Inflicts 4 damage to foe after any combat this unit initiates.
45,Poison Strike 2,post-combat,7,Inflicts 7 damage to foe after any combat this unit initiates.
46,Poison Strike 3,post-combat,10,Inflicts 10 damage to foe after any combat this unit initiates.
47,Quick Riposte 1,qr,0.9,Unit automatically makes a follow-up attack if attacked at HP ≥ 90%.
48,Quick Riposte 2,qr,0.8,Unit automatically makes a follow-up attack if attacked at HP ≥ 80%.
49,Quick Riposte 3,qr,0.7,Unit automatically makes a follow-up attack if attacked at HP ≥ 70%.
50,R Tomebreaker 1,breaker,"Red,Tome","If unit's HP ≥ 90% in combat against a red tome user, unit makes a follow-up attack and foe cannot."
51,R Tomebreaker 2,breaker,"Red,Tome","If unit's HP ≥ 70% in combat against a red tome user, unit makes a follow-up attack and foe cannot."
52,R Tomebreaker 3,breaker,"Red,Tome","If unit's HP ≥ 50% in combat against a red tome user, unit makes a follow-up attack and foe cannot."
53,Renewal 1,heal,4,"At the start of every fourth turn, restores 10 HP."
54,Renewal 2,heal,3,"At the start of every third turn, restores 10 HP."
55,Renewal 3,heal,2,"At the start of every second turn, restores 10 HP."
56,Seal Atk 1,seal,ATK-3,"After combat, foe suffers Atk-3 through its next action."
57,Seal Atk 2,seal,ATK-5,"After combat, foe suffers Atk-5 through its next action."
58,Seal Atk 3,seal,ATK-7,"After combat, foe suffers Atk-7 through its next action."
59,Seal Def 1,seal,DEF-3,"After combat, foe suffers Def -3 through its next action."
60,Seal Def 2,seal,DEF-5,"After combat, foe suffers Def -5 through its next action."
61,Seal Def 3,seal,DEF-7,"After combat, foe suffers Def -7 through its next action."
62,Seal Res 1,seal,RES-3,"After combat, foe suffers Res-3 through its next action."
63,Seal Res 2,seal,RES-5,"After combat, foe suffers Res-5 through its next action."
64,Seal Res 3,seal,RES-7,"After combat, foe suffers Res-7 through its next action."
65,Seal Spd 1,seal,SPD-3,"After combat, foe suffers Spd-3 through its next action."
66,Seal Spd 2,seal,SPD-5,"After combat, foe suffers Spd-5 through its next action."
67,Seal Spd 3,seal,SPD-7,"After combat, foe suffers Spd-7 through its next action."
68,Swordbreaker 1,breaker,"Red,Sword","If unit's HP ≥ 90% in combat against a sword user, unit makes a follow-up attack and foe cannot."
69,Swordbreaker 2,breaker,"Red,Sword","If unit's HP ≥ 70% in combat against a sword user, unit makes a follow-up attack and foe cannot."
70,Swordbreaker 3,breaker,"Red,Sword","If unit's HP ≥ 50% in combat against a sword user, unit makes a follow-up attack and foe cannot."
71,Vantage 1,van,0.25,Unit counterattacks first when attacked at HP ≤ 25%
72,Vantage 2,van,0.5,Unit counterattacks first when attacked at HP ≤ 50%
73,Vantage 3,van,0.75,Unit counterattacks first when attacked at HP ≤ 75%
74,Wary Fighter 1,wf,0.9,Prevents follow up attack in combat from unit and foes if unit's HP ≥ 90%
75,Wary Fighter 2,wf,0.7,Prevents follow up attack in combat from unit and foes if unit's HP ≥ 70%
76,Wary Fighter 3,wf,0.5,Prevents follow up attack in combat from unit and foes if unit's HP ≥ 50%
77,Watersweep 1,sweep,"Magic,SPD,5","If unit initiates attack, no follow-up occurs. Against foe with magic, staff or dragonstone, if unit’s Spd - foe’s Spd ≥ 5, foe can’t counterattack."
78,Watersweep 2,sweep,"Magic,SPD,3","If unit initiates attack, no follow-up occurs. Against foe with magic, staff or dragonstone, if unit’s Spd - foe’s Spd ≥ 3, foe can’t counterattack."
79,Watersweep 3,sweep,"Magic,SPD,1","If unit initiates attack, no follow-up occurs. Against foe with magic, staff or dragonstone, if unit’s Spd - foe’s Spd ≥ 1, foe can’t counterattack."
80,Windsweep 1,sweep,"Physical,SPD,5","If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, or dagger, if unit’s Spd - foe’s Spd ≥ 5, foe can’t counterattack."
81,Windsweep 2,sweep,"Physical,SPD,3","If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, or dagger, if unit’s Spd - foe’s Spd ≥ 3, foe can’t counterattack."
82,Windsweep 3,sweep,"Physical,SPD,1","If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, or dagger, if unit’s Spd - foe’s Spd ≥ 1, foe can’t counterattack."
83,Wings of Mercy 1,mobility,warp,Enables unit to warp adjacent to any ally with HP ≤ 30%.
84,Wings of Mercy 2,mobility,warp,Enables unit to warp adjacent to any ally with HP ≤ 40%.
85,Wings of Mercy 3,mobility,warp,Enables unit to warp adjacent to any ally with HP ≤ 50%.
